id,nombre,latitud,longitud,direccion,fecha,hora,ocupacion_total,ocupacion_libres
PARK-0028,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-12-19,17:00,866,17
PARK-0029,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-04-23,21:00,866,286
PARK-0030,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-01-29,07:00,866,422
PARK-0031,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-01-17,10:00,291,54
PARK-0032,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-10-18,22:00,291,160
PARK-0033,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-06-11,06:00,291,242
PARK-0034,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-11-26,14:00,291,62
PARK-0035,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-03-15,08:00,291,105
PARK-0036,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-10-03,08:00,291,102
PARK-0037,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-10-27,13:00,291,24
PARK-0038,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-04-23,04:00,291,280
PARK-0039,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-09-18,15:00,291,60
PARK-0040,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-02-26,04:00,291,269
PARK-0041,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-11-18,05:00,291,259
PARK-0042,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-02-02,12:00,291,44
PARK-0043,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-07-15,19:00,291,23
PARK-0044,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-10-11,00:00,291,249
PARK-0045,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-12-15,23:00,291,197
PARK-0046,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-05-17,20:00,291,44
PARK-0047,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-06-24,03:00,291,273
PARK-0048,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-01-02,23:00,291,212
PARK-0049,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-05-15,16:00,291,68
PARK-0050,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-02-24,20:00,291,81
PARK-0051,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-06-02,20:00,291,73
PARK-0052,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-07-11,05:00,291,263
PARK-0053,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-10-04,16:00,291,52
PARK-0054,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-09-08,00:00,291,258
PARK-0055,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-02-27,11:00,291,15
PARK-0056,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-06-07,07:00,291,196
PARK-0057,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-01-30,07:00,291,152
PARK-0058,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-02-13,23:00,291,244
PARK-0059,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-09-06,02:00,291,250
PARK-0060,Parking Publico El Palo,36.721035,-4.3607192,Calle Alonso Carrillo de Albornoz,2026-03-06,04:00,291,274
PARK-0061,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-12-04,15:00,929,227
PARK-0062,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-09-28,19:00,929,195
PARK-0063,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-05,06:00,929,690
PARK-0064,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-12-20,06:00,929,794
PARK-0065,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-06-09,12:00,929,84
PARK-0066,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-13,16:00,929,272
PARK-0067,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-20,03:00,929,870
PARK-0068,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-01-11,18:00,929,194
PARK-0069,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-10-11,07:00,929,596
PARK-0070,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-12-29,20:00,929,256
PARK-0071,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-01-31,07:00,929,580
PARK-0072,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-06-19,02:00,929,857
PARK-0073,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-09-21,07:00,929,601
PARK-0074,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-10-04,04:00,929,817
PARK-0075,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-10-20,18:00,929,291
PARK-0076,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-07-28,06:00,929,746
PARK-0077,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-02-18,03:00,929,893
PARK-0078,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-07-30,14:00,929,247
PARK-0079,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-01-28,21:00,929,418
PARK-0080,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-02-01,12:00,929,207
PARK-0081,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-06-23,03:00,929,870
PARK-0082,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-18,04:00,929,840
PARK-0083,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-05,05:00,929,851
PARK-0084,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-02-08,14:00,929,176
PARK-0085,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-10-09,03:00,929,702
PARK-0086,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-01-08,02:00,929,806
PARK-0087,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-05-02,05:00,929,889
PARK-0088,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-07-25,01:00,929,815
PARK-0089,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-03-26,12:00,929,105
PARK-0090,Parking Publico Av. de Andalucía,36.7173271,-4.427712,Avenida de Andalucía - Málaga,2026-08-21,09:00,929,295
PARK-0091,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-08-05,22:00,526,190
PARK-0092,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-12,21:00,526,183
PARK-0093,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-09-07,04:00,526,480
PARK-0094,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-01-30,18:00,526,31
PARK-0095,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-05,01:00,526,470
PARK-0096,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-27,15:00,526,85
PARK-0097,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-09-15,16:00,526,50
PARK-0098,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-11,05:00,526,414
PARK-0099,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-05,19:00,526,11
PARK-0100,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-07-26,03:00,526,465
PARK-0101,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-19,07:00,526,308
PARK-0102,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-11,13:00,526,23
PARK-0103,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-12-03,18:00,526,69
PARK-0104,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-05-14,06:00,526,423
PARK-0105,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-12-09,22:00,526,281
PARK-0106,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-03-09,21:00,526,141
PARK-0107,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-11-27,09:00,526,162
PARK-0108,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-07,00:00,526,426
PARK-0109,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-08-23,19:00,526,11
PARK-0110,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-07,17:00,526,77
PARK-0111,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-04-20,16:00,526,93
PARK-0112,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-02-05,07:00,526,240
PARK-0113,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-07-09,09:00,526,77
PARK-0114,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-12-27,09:00,526,62
PARK-0115,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-11-10,20:00,526,114
PARK-0116,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-11,09:00,526,111
PARK-0117,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-12-06,03:00,526,474
PARK-0118,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-03-01,03:00,526,492
PARK-0119,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-10-11,04:00,526,492
PARK-0120,Parking Publico Camas,36.7202072,-4.4244981,Calle Camas - Málaga,2026-06-25,06:00,526,378
PARK-0121,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-12-18,20:00,543,41
PARK-0122,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-05-09,01:00,543,508
PARK-0123,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-02-17,20:00,543,80
PARK-0124,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-01-02,10:00,543,20
PARK-0125,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-03-08,20:00,543,44
PARK-0126,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-08-15,17:00,543,62
PARK-0127,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-12-28,13:00,543,12
PARK-0128,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-12-20,04:00,543,506
PARK-0129,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-10-07,01:00,543,464
PARK-0130,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-03-17,13:00,543,31
PARK-0131,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-03-07,01:00,543,503
PARK-0132,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-01-21,11:00,543,11
PARK-0133,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-04-18,21:00,543,151
PARK-0134,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-10-14,13:00,543,11
PARK-0135,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-11-14,23:00,543,357
PARK-0136,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-03-25,05:00,543,431
PARK-0137,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-07-31,00:00,543,426
PARK-0138,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-07-30,21:00,543,95
PARK-0139,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-05-08,08:00,543,158
PARK-0140,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-07-15,01:00,543,447
PARK-0141,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-08-29,07:00,543,283
PARK-0142,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-06-29,09:00,543,33
PARK-0143,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-04-27,07:00,543,284
PARK-0144,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-06-18,08:00,543,178
PARK-0145,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-02-05,08:00,543,200
PARK-0146,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-12-14,17:00,543,34
PARK-0147,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-06-19,00:00,543,399
PARK-0148,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-04-02,18:00,543,11
PARK-0149,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-05-16,01:00,543,460
PARK-0150,Parking Publico Alcazaba,36.7224312,-4.4165168,Plaza la Alcazaba,2026-06-10,13:00,543,11
PARK-0151,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-11-07,16:00,704,206
PARK-0152,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-04-08,08:00,704,314
PARK-0153,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-01-23,22:00,704,488
PARK-0154,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-10-03,21:00,704,319
PARK-0155,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-10,06:00,704,600
PARK-0156,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-07,10:00,704,213
PARK-0157,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-11-16,10:00,704,232
PARK-0158,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-06-03,16:00,704,278
PARK-0159,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-06-08,21:00,704,366
PARK-0160,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-06-01,17:00,704,231
PARK-0161,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-03-07,06:00,704,664
PARK-0162,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-13,23:00,704,522
PARK-0163,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-03-31,19:00,704,238
PARK-0164,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-01-01,09:00,704,294
PARK-0165,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-05-27,06:00,704,633
PARK-0166,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-02,10:00,704,203
PARK-0167,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-08-27,14:00,704,245
PARK-0168,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-08-31,23:00,704,554
PARK-0169,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-03-28,21:00,704,299
PARK-0170,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-11-21,19:00,704,184
PARK-0171,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-06-21,02:00,704,634
PARK-0172,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-11,09:00,704,333
PARK-0173,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-04-26,06:00,704,584
PARK-0174,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-09-01,19:00,704,197
PARK-0175,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-02-07,14:00,704,265
PARK-0176,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-04-10,22:00,704,424
PARK-0177,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-23,12:00,704,209
PARK-0178,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-02,22:00,704,448
PARK-0179,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-01-03,03:00,704,660
PARK-0180,Parking Publico San Juan De La Cruz,36.717865,-4.4332781,Compositor Lemberg Ruiz - 29007 Málaga (málaga),2026-12-23,16:00,704,287
PARK-0181,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-26,01:00,450,441
PARK-0182,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-03-04,14:00,450,17
PARK-0183,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-03-10,14:00,450,32
PARK-0184,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-11-01,10:00,450,57
PARK-0185,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-15,19:00,450,9
PARK-0186,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-07,17:00,450,69
PARK-0187,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-17,05:00,450,398
PARK-0188,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-05-13,07:00,450,263
PARK-0189,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-11-23,08:00,450,129
PARK-0190,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-11-17,07:00,450,265
PARK-0191,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-05-21,14:00,450,9
PARK-0192,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-05-20,10:00,450,9
PARK-0193,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-06-13,17:00,450,14
PARK-0194,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-07-16,22:00,450,205
PARK-0195,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-03-20,22:00,450,206
PARK-0196,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-06-19,17:00,450,9
PARK-0197,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-27,13:00,450,9
PARK-0198,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-07-19,18:00,450,9
PARK-0199,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-12-23,00:00,450,347
PARK-0200,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-07-14,15:00,450,56
PARK-0201,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-01-04,11:00,450,9
PARK-0202,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-08-03,17:00,450,9
PARK-0203,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-10-07,19:00,450,9
PARK-0204,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-05-20,13:00,450,9
PARK-0205,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-09-06,00:00,450,396
PARK-0206,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-07-27,23:00,450,296
PARK-0207,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-03-26,14:00,450,9
PARK-0208,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-10-01,00:00,450,401
PARK-0209,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-07-21,18:00,450,9
PARK-0210,Parking Publico Pz. de la Marina,36.7174149,-4.4200468,Plaza de la Marina,2026-11-26,13:00,450,9
PARK-0211,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-03-11,14:00,253,38
PARK-0212,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-06-17,06:00,253,195
PARK-0213,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-08-21,10:00,253,56
PARK-0214,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-05-23,13:00,253,8
PARK-0215,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-05-10,02:00,253,248
PARK-0216,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-01-27,11:00,253,26
PARK-0217,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-04-25,20:00,253,26
PARK-0218,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-01-21,00:00,253,203
PARK-0219,Parking Publico Tejón y Rodriguez,36.7235985,-4.4214821,Calle Tejón y Rodriguez,2026-05-07,06:00,253,194
