id,nombre,latitud,longitud,direccion,carril_bici_longitud
BICI-14661,CARRILBICI_07,36.71466365507867,-4.44247202283424,Calle Conde de Guadalhorce,312.4
BICI-14681,CARRILBICI_15,36.72041283916518,-4.449153073560111,Avenida de Santa Rosa de Lima,411.5
BICI-14636,CARRILBICI_28.01,36.71814758735101,-4.42204326351357,Alameda Principal,1535.1
BICI-14673,CARRILBICI_46,36.71474265445665,-4.4484614576840205,Calle Virgen de la Cabeza,922.2
BICI-14631,CARRILBICI_20,36.70034624120877,-4.43640052117953,Calle Princesa,643.8
BICI-14658,CARRILBICI_34,36.719290795467906,-4.506889376777376,Avenida Marcelino Camacho,521.7
BICI-14666,CARRILBICI_09,36.68060603182067,-4.448158257690525,Calle Pacífico,604.7
BICI-14655,CARRILBICI_25,36.72968735229292,-4.434233715921394,Avenida del Arroyo de los Ángeles,890.2
BICI-14662,CARRILBICI_08,36.71123518914448,-4.445548058256189,Avenida de José Ortega y Gasset,471.4
BICI-14678,CARRILBICI_45,36.72277368031844,-4.392737368185739,Paseo Marítimo Pablo Ruiz Picasso,1095.9
BICI-14679,CARRILBICI_44,36.7203038395024,-4.403931587469574,Paseo Marítimo Pablo Ruiz Picasso,917.2
BICI-14663,CARRILBICI_02,36.72555025243186,-4.484672340974276,Avenida María Victoria Atencia,938.3
BICI-14674,CARRILBICI_47,36.707976472437984,-4.435312305051269,Calle Héroe de Sostoa,1288.0
BICI-14685,CARRILBICI_21,36.69987384130714,-4.435561133460446,Paseo de Antonio Machado,2182.9
BICI-14632,CARRILBICI_19,36.7026003434222,-4.433735568197181,Paseo de Antonio Machado,1260.4
BICI-14635,CARRILBICI_24,36.721505338907804,-4.43949352907955,Calle Doctor Escassi,1076.3
BICI-14634,CARRILBICI_17,36.71617741313038,-4.4368198263180725,Calle Ingeniero de la Torre Acosta,834.0
BICI-14667,CARRILBICI_11,36.680880774481516,-4.460148444492537,Calle Miguel de Mérida Nicolich,263.0
BICI-14654,CARRILBICI_48,36.720922748836095,-4.411798333076868,Avenida de Cervantes,740.8
BICI-14687,CARRILBICI_42,36.73007322715837,-4.439480890117296,Calle Martínez de la Rosa,923.3
BICI-14686,CARRILBICI_23,36.721501080911764,-4.435699138289132,Calle Martínez Maldonado,950.8
BICI-14696,CARRILBICI_16.01,36.7188915024102,-4.449347898270347,Avenida del Obispo Ángel Herrera Oria,52.1
BICI-14690,CARRILBICI_16.03,36.71809554335047,-4.4383274998775075,Avenida del Obispo Ángel Herrera Oria,1023.4
BICI-14697,CARRILBICI_16.02,36.718906936100836,-4.448823197428339,Avenida del Obispo Ángel Herrera Oria,49.7
BICI-14630,CARRILBICI_38,36.72139543301178,-4.386117512629479,Calle Bolivia,698.1
BICI-14670,CARRILBICI_05,36.719805577448845,-4.462112208016838,Calle Mallarmé,222.1
BICI-14656,CARRILBICI_13,36.718648093595206,-4.46098794693497,Bulevar Louis Pasteur,1309.4
BICI-14633,CARRILBICI_18,36.70962593881638,-4.428021533428232,Avenida Ingeniero José María Garnica,235.2
BICI-14628,CARRILBICI_33,36.69222927790618,-4.486194495881646,Carretera Azucarera-intelhorce,2565.6
BICI-14627,CARRILBICI_32,36.70359910621323,-4.493069369031921,Carretera Azucarera-intelhorce,885.4
BICI-14664,CARRILBICI_03.02,36.726197009619966,-4.471953720888441,Avenida Pintor Manuel Barbadillo,208.3
BICI-14684,CARRILBICI_03.01,36.71808328027961,-4.467271861120604,Avenida Pintor Manuel Barbadillo,1607.8
BICI-14660,CARRILBICI_06,36.715652109023395,-4.438704912933758,Avenida de la Aurora,546.0
