id,nombre_establecimiento,tipo_ocupacion,direccion,latitud,longitud,ocupacion_longitud,ocupacion_superficie,titularidad,estado_autorizacion,fecha_inicio_autorizacion,fecha_fin_autorizacion,notas
OCUP-0030,MAYJO,terraza,Calle Sevilla,36.72581626281823,-4.429550745668176,,8.0,privada,activa,,,
OCUP-0031,BODEGUITA EL CENACHERO,terraza,Avenida Rosaleda,36.723689210328004,-4.425331009275863,,10.0,privada,activa,,,
OCUP-0032,SNACK BAR AQUA,terraza,Alameda Colon,36.714495874447195,-4.424271891689104,,11.0,privada,activa,,,
OCUP-0033,BAR LUCA,terraza,Alameda Colon,36.714226991443596,-4.424174157871053,,9.0,privada,activa,,,
OCUP-0034,ALMA ALPUJARRE?A,terraza,Alameda Colon,36.71444262827484,-4.424543203372043,,23.0,privada,activa,,,
OCUP-0035,MATACOPAS,terraza,Calle Pirandello,36.715953958083816,-4.462309325200291,,116.0,privada,activa,,,
OCUP-0036,RUBICO,terraza,Alameda Colon,36.71405917983171,-4.424508527846065,,12.0,privada,activa,,,
OCUP-0037,ONLY YOU HOTEL MALAGA,terraza,Alameda Principal,36.71776858727525,-4.421080666020303,,74.0,privada,activa,,,
OCUP-0038,TRAGAT? MALAGA,terraza,Alameda Principal,36.71768662970366,-4.421338008084372,,42.0,privada,activa,,,
OCUP-0039,BURGUER KING,terraza,Alameda Principal,36.718152220595385,-4.421846190295134,,26.0,privada,activa,,,
OCUP-0040,FIVE GUYS,terraza,Alameda Principal,36.718152220595385,-4.421846190295134,,26.0,privada,activa,,,
OCUP-0041,ESTAMBUL,terraza,Alameda Principal,36.7180861524744,-4.422071407989323,,13.0,privada,activa,,,
OCUP-0042,A LA TURCA,terraza,Alameda Principal,36.71803970949865,-4.422256473413283,,13.0,privada,activa,,,
OCUP-0043,BAR LA MARINA,terraza,Alameda Principal,36.71752883038388,-4.421914814189762,,13.0,privada,activa,,,
OCUP-0044,LA BARRA DE DO?A INES,terraza,Alameda Principal,36.71745566212548,-4.422181370738274,,13.0,privada,activa,,,
OCUP-0045,LUCCIANOS,terraza,Alameda Principal,36.71743089279806,-4.422275605172293,,13.0,privada,activa,,,
OCUP-0046,STREET FOOD BURGER,terraza,Alameda Principal,36.71743089279806,-4.422275605172293,,13.0,privada,activa,,,
OCUP-0047,VINOTECA BOUQUET,terraza,Alameda Principal,36.717547284651175,-4.4239573871871025,,13.0,privada,activa,,,
OCUP-0048,ALAMEDA MARTIRICOS,terraza,Alameda Principal,36.717135306436404,-4.423360268758192,,13.0,privada,activa,,,
OCUP-0049,DUMPLING HOUSE,terraza,Alameda Principal,36.717408059543835,-4.424433982851262,,26.0,privada,activa,,,
OCUP-0050,IL POSTTO,terraza,Alameda Principal,36.71736568450867,-4.424595990039234,,13.0,privada,activa,,,
OCUP-0051,ISTURK KEBAB,terraza,Alameda Principal,36.716947478203004,-4.424013411218493,,10.0,privada,activa,,,
OCUP-0052,MALV?N VIALIA,terraza,Avenida Americas de las,36.713150859042734,-4.431816028271696,,30.0,privada,activa,,,
OCUP-0053,CHUN LI DUMPLING HOUSE,terraza,Avenida Americas de las,36.71437332139305,-4.433435507605605,,5.0,privada,activa,,,
OCUP-0054,LA MESA,terraza,Avenida Americas de las,36.71453158615513,-4.433866336012445,,11.0,privada,activa,,,
OCUP-0055,SMASH HIRO,terraza,Avenida Americas de las,36.71453158615513,-4.433866336012445,,12.0,privada,activa,,,
OCUP-0056,CHAI CAFE Y BRUNCH,terraza,Avenida Andalucia,36.71660539144142,-4.431294775747686,,11.0,privada,activa,,,
OCUP-0057,LA CHALA,terraza,Avenida Andalucia,36.71647529082234,-4.438747196496367,,65.0,privada,activa,,,
OCUP-0058,VICTORIA,terraza,Avenida Andalucia,36.71607637328258,-4.440915267054096,,21.0,privada,activa,,,
OCUP-0059,RECREATIVOS HERMANOS GARCIA,terraza,Avenida Antonio Gaudi,36.69751440955431,-4.456108791737211,,23.0,privada,activa,,,
OCUP-0060,HELADERIA EL TORCAL,terraza,Avenida Manuel Torres,36.700698005307665,-4.448380287901859,,14.0,privada,activa,,,
OCUP-0061,PEPE LECHES,terraza,Avenida Arroyo de los Angeles,36.72749376310356,-4.428825603330165,,26.0,privada,activa,,,
OCUP-0062,CAFE BAR AROMAS,terraza,Avenida Arroyo de los Angeles,36.72756483081004,-4.428046017321874,,20.0,privada,activa,,,
OCUP-0063,EL SOL,terraza,Avenida Arroyo de los Angeles,36.73091712471955,-4.4360457334183545,,17.0,privada,activa,,,
OCUP-0064,CAFE BAR PLATA,terraza,Avenida Aurora,36.71567656578085,-4.427090437456654,,25.0,privada,activa,,,
OCUP-0065,CAFETERIA PLAZA,terraza,Plaza Marina de la,36.71841357511578,-4.420895728609094,,70.0,privada,activa,,,
OCUP-0066,NAVIN,terraza,Avenida Aurora,36.71567656578085,-4.427090437456654,,31.0,privada,activa,,,
OCUP-0067,TASKA LASKA,terraza,Avenida Aurora,36.71567656578085,-4.427090437456654,,20.0,privada,activa,,,
OCUP-0068,RIXTOR BURGERS,terraza,Avenida Aurora,36.71505242625621,-4.441108849020748,,15.0,privada,activa,,,
OCUP-0069,CHEEMA D0NER KEBAB - PIZZER?A,terraza,Avenida Aurora,36.71552674966415,-4.438421467250117,,11.0,privada,activa,,,
OCUP-0070,LA CANASTA,terraza,Avenida Aurora,36.71529448879638,-4.439123957017016,,42.0,privada,activa,,,
OCUP-0071,CASA BELEN,terraza,Avenida Barcelona,36.7225498102683,-4.431607052656375,,9.0,privada,activa,,,
OCUP-0072,TABERNA EL A?EJO,terraza,Avenida Barcelona,36.72531894153188,-4.431163913226205,,19.0,privada,activa,,,
OCUP-0073,TAPERIA EL BIGOTE,terraza,Avenida Bonaire,36.69518330605244,-4.4542342097019,,20.0,privada,activa,,,
OCUP-0074,CAFE PAULA BAR,terraza,Avenida Bonaire,36.6952362495746,-4.45517489912225,,7.0,privada,activa,,,
OCUP-0075,LA CANASTA,terraza,Avenida Canovas del Castillo,36.719503632497656,-4.411860091348121,,32.0,privada,activa,,,
OCUP-0076,MARRAKECH,terraza,Avenida Canovas del Castillo,36.71862838447196,-4.4106028991466815,,13.0,privada,activa,,,
OCUP-0077,TAJ TANDOORI,terraza,Avenida Canovas del Castillo,36.71862838447196,-4.4106028991466815,,12.0,privada,activa,,,
OCUP-0078,EL BOSQUE,terraza,Avenida Carlos de Haya,36.72137789001614,-4.442397664290707,,39.0,privada,activa,,,
OCUP-0079,MESON EL MARTINETE,terraza,Avenida Carlos de Haya,36.7217066277616,-4.445467783901966,,28.0,privada,activa,,,
OCUP-0080,AL NOOR TACO KEBAB,terraza,Avenida Carlos de Haya,36.72187172390279,-4.444952447468027,,26.0,privada,activa,,,
OCUP-0081,TURKY KEBAB Y PIZZER?A.,terraza,Avenida Carlos de Haya,36.72199738811683,-4.446948809115939,,18.0,privada,activa,,,
OCUP-0082,EL IMPERIAL,terraza,Avenida Carlos de Haya,36.72197614665111,-4.445590337820716,,29.0,privada,activa,,,
OCUP-0083,TEJERINGOS,terraza,Avenida Carlos de Haya,36.72218899572507,-4.446710224715776,,18.0,privada,activa,,,
OCUP-0084,AL-ANDALUS,terraza,Avenida Carlos de Haya,36.722207237106765,-4.448223895538157,,48.0,privada,activa,,,
OCUP-0085,SUSHI REST BARBACOA HAN WEI JU,terraza,Avenida Carlos de Haya,36.722207237106765,-4.448223895538157,,31.0,privada,activa,,,
OCUP-0086,CALAO CAF?,terraza,Avenida Carlos de Haya,36.72238195515257,-4.447647248802149,,14.0,privada,activa,,,
OCUP-0087,DOMINO SPIZZA,terraza,Avenida Diego Fernandez de Mendoza,36.72230546019663,-4.4694072775075036,,38.0,privada,activa,,,
OCUP-0088,BAR COMODORO,terraza,Avenida Doctor Ma?as Bernabeu,36.71093991929919,-4.442753434805868,,24.0,privada,activa,,,
OCUP-0089,PICOTEO PITAGORAS,terraza,Avenida Doctor Manuel Dominguez,36.715278896224696,-4.4667121228059825,,14.0,privada,activa,,,
OCUP-0090,CAFE BAR EL ENSUE?O DE MALAGA,terraza,Avenida Doctor Mara?on,36.73066162909785,-4.428507846140003,,13.0,privada,activa,,,
OCUP-0091,BAR MARTIRICOS,terraza,Avenida Doctor Mara?on,36.731061392414624,-4.428484564681773,,18.0,privada,activa,,,
OCUP-0092,MARHAHA KEBAB,terraza,Avenida Doctor Mara?on,36.73164190242099,-4.4284434756496935,,3.0,privada,activa,,,
OCUP-0093,EL BARCO,terraza,Avenida Doctor Mara?on,36.731768384756734,-4.428434675052803,,4.0,privada,activa,,,
OCUP-0094,ASADOR PADILLA,terraza,Avenida Doctor Mara?on,36.73187767661546,-4.428428187825054,,12.0,privada,activa,,,
OCUP-0095,BRISAS DEL SUR,terraza,Avenida Doctor Mara?on,36.73243429097619,-4.428465182425104,,26.0,privada,activa,,,
OCUP-0096,LE GRAND CAFE DE TEATINOS,terraza,Avenida Dolores Rodriguez de Aragon,36.71933424095791,-4.485928153180377,,80.0,privada,activa,,,
OCUP-0097,CAFETERIA ATALAYA,terraza,Avenida Editor Angel Caffarena,36.726194879878356,-4.474220332418844,,38.0,privada,activa,,,
OCUP-0098,TITA COSI,terraza,Avenida Editor Angel Caffarena,36.72621589857999,-4.475267717493025,,17.0,privada,activa,,,
OCUP-0099,ROSARIO S,terraza,Avenida Editor Angel Caffarena,36.726302658477195,-4.4795374943351955,,39.0,privada,activa,,,
OCUP-0100,PIZZER?A DI BELLO,terraza,Avenida Escritor Antonio Soler,36.72459733071781,-4.489856702764919,,20.0,privada,activa,,,
OCUP-0101,HORNOS VILLANUEVA,terraza,Avenida Escritor Antonio Soler,36.72317446494988,-4.492896087969359,,14.0,privada,activa,,,
OCUP-0102,TABERNA ALASKA,terraza,Avenida Europa,36.70210999605848,-4.448240499177357,,48.0,privada,activa,,,
OCUP-0103,TANO'S,terraza,Avenida Europa,36.702016165261206,-4.448442422866969,,77.0,privada,activa,,,
OCUP-0104,LA ALEGRIA DE SAN ANDRES,terraza,Avenida Europa,36.70052802593557,-4.4510715792734095,,8.0,privada,activa,,,
OCUP-0105,KAIKO´SPORT,terraza,Avenida Europa,36.69925741705671,-4.45401547623786,,21.0,privada,activa,,,
OCUP-0106,MAMUTH,terraza,Avenida Europa,36.69876307002314,-4.45417639627858,,30.0,privada,activa,,,
OCUP-0107,KEBAB XL EUROPA,terraza,Avenida Europa,36.69859438518045,-4.454466949855471,,26.0,privada,activa,,,
OCUP-0108,BURGUER MI BARRIO,terraza,Avenida Europa,36.698071739971354,-4.45548915041179,,45.0,privada,activa,,,
OCUP-0109,CASA COSME,terraza,Avenida Gregorio Diego,36.69062702390642,-4.45302288840131,,15.0,privada,activa,,,
OCUP-0110,ON DER MIGUE,terraza,Avenida Gregorio Diego,36.69047045687813,-4.452785096491159,,15.0,privada,activa,,,
OCUP-0111,EL TAP?N,terraza,Avenida Gregorio Diego,36.689459325887285,-4.450682224283919,,15.0,privada,activa,,,
OCUP-0112,CAFE BAR EL PASEITO,terraza,Avenida Gregorio Diego,36.68858993655768,-4.448461688960569,,20.0,privada,activa,,,
OCUP-0113,EL RENGUE,terraza,Avenida Gregorio Prieto,36.719541593187685,-4.464386550745421,,15.0,privada,activa,,,
OCUP-0114,MARIA TORMENTO,terraza,Avenida Gregorio Prieto,36.71736726985069,-4.463471061252992,,56.0,privada,activa,,,
OCUP-0115,CANTINA CATRINA,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,60.0,privada,activa,,,
OCUP-0116,LA ROMA?OLA,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,15.0,privada,activa,,,
OCUP-0117,RIALTO COFFEE,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,15.0,privada,activa,,,
OCUP-0118,RIALTO TEATINOS,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,28.0,privada,activa,,,
OCUP-0119,TABERNA LA NEW,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,25.0,privada,activa,,,
OCUP-0120,TAPERIA ALHAMBRA,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,42.0,privada,activa,,,
OCUP-0121,The Golden Stack,terraza,Avenida Gregorio Prieto,36.7163857941261,-4.463043767805281,,41.0,privada,activa,,,
OCUP-0122,BAR PATRICIA TEATINOS,terraza,Avenida Gregorio Prieto,36.715754447259755,-4.463136027655972,,48.0,privada,activa,,,
OCUP-0123,LA CHURROCATERIA,terraza,Avenida Gregorio Prieto,36.715754447259755,-4.463136027655972,,26.0,privada,activa,,,
OCUP-0124,CIRCUS,terraza,Avenida Gregorio Prieto,36.715754447259755,-4.463136027655972,,22.0,privada,activa,,,
OCUP-0125,EL TRIBUNAL,terraza,Avenida Gregorio Prieto,36.715754447259755,-4.463136027655972,,60.0,privada,activa,,,
OCUP-0126,LA CALLE BURGUER,terraza,Avenida Gregorio Prieto,36.71581942942383,-4.462964308521712,,21.0,privada,activa,,,
OCUP-0127,MAYTE III,terraza,Avenida Gregorio Prieto,36.71581942942383,-4.462964308521712,,30.0,privada,activa,,,
OCUP-0128,PADTHAIWOK,terraza,Avenida Guindos de los,36.69099398584816,-4.447535388814468,,9.0,privada,activa,,,
OCUP-0129,CAFE SANTANA,terraza,Avenida Guindos de los,36.690843013826175,-4.447626266551958,,17.0,privada,activa,,,
OCUP-0130,BURGUER NOMADAS COMPANY,terraza,Avenida Guindos de los,36.69074446081178,-4.447355713314547,,37.0,privada,activa,,,
OCUP-0131,LA PEPA Y SUS PEPITOS,terraza,Avenida Imperio Argentina,36.683695474824766,-4.456845766396721,,21.0,privada,activa,,,
OCUP-0132,LA CANASTA,terraza,Avenida Imperio Argentina,36.68297317183253,-4.45588172990977,,21.0,privada,activa,,,
OCUP-0133,HELADOS BY MARDEL,terraza,Avenida Imperio Argentina,36.68322378999583,-4.4557063404642605,,36.0,privada,activa,,,
OCUP-0134,RESTAURANTE LA SCALA,terraza,Avenida Imperio Argentina,36.68322378999583,-4.4557063404642605,,68.0,privada,activa,,,
OCUP-0135,TEJERINGOS COFFEE,terraza,Avenida Imperio Argentina,36.68322378999583,-4.4557063404642605,,32.0,privada,activa,,,
OCUP-0136,MAMMA FRANCA,terraza,Avenida Imperio Argentina,36.68322378999583,-4.4557063404642605,,39.0,privada,activa,,,
OCUP-0137,LA CALETA,terraza,Avenida Imperio Argentina,36.68288230549544,-4.454694513657159,,70.0,privada,activa,,,
OCUP-0138,LA GRADA LITORAL,terraza,Avenida Imperio Argentina,36.68264674755406,-4.454063097024648,,70.0,privada,activa,,,
OCUP-0139,LA TASKITA DE TOBITA,terraza,Avenida Imperio Argentina,36.682315401100695,-4.453345929705541,,50.0,privada,activa,,,
OCUP-0140,MARISQUERIA LA LUZ,terraza,Avenida Isaac Peral,36.69669896159467,-4.45580814723081,,5.0,privada,activa,,,
OCUP-0141,BUENAVISTA,terraza,Avenida Isaac Peral,36.696202198029404,-4.456190874141921,,2.0,privada,activa,,,
OCUP-0142,EL TRASIEGO,terraza,Avenida Isaac Peral,36.69591942343166,-4.455930945080689,,14.0,privada,activa,,,
OCUP-0143,AROMAS DEL SUR,terraza,Avenida Isaac Peral,36.69391125948178,-4.4578182717643395,,24.0,privada,activa,,,
OCUP-0144,EL PARQUE BROS,terraza,Avenida Isaac Peral,36.693560547153965,-4.458252274553751,,24.0,privada,activa,,,
OCUP-0145,LA PARROQUIA DEL TAPEO,terraza,Avenida Isaac Peral,36.693181602294736,-4.45866117128512,,36.0,privada,activa,,,
OCUP-0146,CAFETER?A EL PASEO,terraza,Avenida Jane Bowles,36.7437353082645,-4.426718346768862,,17.0,privada,activa,,,
OCUP-0147,TURKY KEBAB,terraza,Avenida Jane Bowles,36.7437353082645,-4.426718346768862,,9.0,privada,activa,,,
OCUP-0148,BEST KEBAB,terraza,Avenida Jane Bowles,36.74519839455405,-4.426629119598184,,13.0,privada,activa,,,
OCUP-0149,THE BEST KEBAB PIZZA,terraza,Avenida Jane Bowles,36.74519839455405,-4.426629119598184,,29.0,privada,activa,,,
OCUP-0150,KALUA HELADOS,terraza,Avenida Jane Bowles,36.74517342329942,-4.426266618968032,,18.0,privada,activa,,,
OCUP-0151,BAR KIVI,terraza,Avenida Jane Bowles,36.745707618350835,-4.4265695820700435,,17.0,privada,activa,,,
OCUP-0152,HELADERIA SABOREA,terraza,Avenida Jane Bowles,36.74612245524003,-4.426222082224794,,20.0,privada,activa,,,
OCUP-0153,LA PATATA FELIZ,terraza,Avenida Jane Bowles,36.74644917403007,-4.426535675709741,,14.0,privada,activa,,,
OCUP-0154,STREET TAPAS,terraza,Avenida Jane Bowles,36.74710163481172,-4.4264903515168825,,17.0,privada,activa,,,
OCUP-0155,TAPERIA ENCANTO,terraza,Avenida Jane Bowles,36.74710163481172,-4.4264903515168825,,48.0,privada,activa,,,
OCUP-0156,BURGUER LA AVENIDA,terraza,Avenida Jane Bowles,36.748648096905086,-4.426899435381053,,14.0,privada,activa,,,
OCUP-0157,KE TE PONGO,terraza,Avenida Jane Bowles,36.74701980573784,-4.426129559958503,,37.0,privada,activa,,,
OCUP-0158,CHOCOLATERIA MARY PEPA,terraza,Avenida Jose Ortega y Gasset,36.711990393736485,-4.441640879806157,,10.0,privada,activa,,,
OCUP-0159,CIAO,terraza,Avenida Jorge Luis Borges,36.72006323588199,-4.460926820786891,,50.0,privada,activa,,,
OCUP-0160,ROSARIO´S,terraza,Avenida Jorge Luis Borges,36.72006323588199,-4.460926820786891,,58.0,privada,activa,,,
OCUP-0161,CATI PASTELERIA,terraza,Avenida Jorge Luis Borges,36.719615589016875,-4.462918991891901,,45.0,privada,activa,,,
OCUP-0162,PATAGONIA II,terraza,Avenida Jorge Luis Borges,36.72029871746365,-4.471017869033974,,30.0,privada,activa,,,
OCUP-0163,LIBRERIA CAFETERIA Q PRO QUO,terraza,Avenida Jorge Luis Borges,36.720312589847055,-4.471113818456374,,26.0,privada,activa,,,
OCUP-0164,CAFETER?A TAPERIA EL PASO,terraza,Avenida Jose Ortega y Gasset,36.710596821108204,-4.4492281796919695,,31.0,privada,activa,,,
OCUP-0165,STAR KEBAB.,terraza,Avenida Jose Ortega y Gasset,36.710447354398816,-4.449884732896937,,21.0,privada,activa,,,
OCUP-0166,RETAMILLA,terraza,Avenida Jose Ortega y Gasset,36.709906464879886,-4.454445238342449,,19.0,privada,activa,,,
OCUP-0167,HELADERIA_VALENTINO,terraza,Avenida Jose Ortega y Gasset,36.70983131962821,-4.45481974833142,,18.0,privada,activa,,,
OCUP-0168,RESTAURANTE CHINO AMIGO,terraza,Avenida Jose Ortega y Gasset,36.70983131962821,-4.45481974833142,,28.0,privada,activa,,,
OCUP-0169,PIZZERIA HAMBURGUESERIA IBIZA,terraza,Avenida Jose Ortega y Gasset,36.7100070082785,-4.452240374479337,,21.0,privada,activa,,,
OCUP-0170,ISTURK KEBAB,terraza,Avenida Jose Ortega y Gasset,36.709765521429425,-4.45333689607775,,51.0,privada,activa,,,
OCUP-0171,CAFETERIA CHICO,terraza,Avenida Jose Ortega y Gasset,36.709632007104084,-4.453950574994611,,39.0,privada,activa,,,
OCUP-0172,LOS REYES DEL PICOTEO,terraza,Avenida Jose Ortega y Gasset,36.71117318685596,-4.447177909145028,,25.0,privada,activa,,,
OCUP-0173,PISCOMAR,terraza,Avenida Jose Ortega y Gasset,36.71076704452749,-4.448270646446807,,52.0,privada,activa,,,
OCUP-0174,TAPAMANIA,terraza,Avenida Jose Ribera,36.720372610411644,-4.471893413698504,,23.0,privada,activa,,,
OCUP-0175,BAR LOS BARCOS,terraza,Avenida Jose Ribera,36.72032940881417,-4.471548952144434,,20.0,privada,activa,,,
OCUP-0176,LA OFICINA CAFE,terraza,Avenida Juan Sebastian Elcano,36.72186705478032,-4.364593202835314,,29.0,privada,activa,,,
OCUP-0177,CAFETERIA EL PAN DE LOLA,terraza,Avenida Juan Sebastian Elcano,36.7211392394929,-4.362296579722141,,21.0,privada,activa,,,
OCUP-0178,CAFETERIA QUINTANA,terraza,Avenida Juan Xxiii,36.71163371835238,-4.446304924026068,,34.0,privada,activa,,,
OCUP-0179,CAFE-BAR BARBARELA,terraza,Avenida Juan Xxiii,36.711759059112936,-4.446395406407228,,35.0,privada,activa,,,
OCUP-0180,CAFE BAR LOS PASTORES,terraza,Avenida Juan Xxiii,36.71241859600977,-4.446881522336218,,14.0,privada,activa,,,
OCUP-0181,RESTAURANTE MISTER RICE,terraza,Avenida Lope de Vega de,36.73034655640113,-4.468118823981463,,30.0,privada,activa,,,
OCUP-0182,PIZZER?A KEBAB A TU GUSTO,terraza,Avenida Luz de la,36.696511153457664,-4.452661638768151,,14.0,privada,activa,,,
OCUP-0183,EL BARQUILLO,terraza,Avenida Luz de la,36.6967292035244,-4.4529704994530395,,45.0,privada,activa,,,
OCUP-0184,PIZZERIA CATALEYA,terraza,Avenida Luz de la,36.6970663314908,-4.452961382928327,,16.0,privada,activa,,,
OCUP-0185,BAR PIZZER?A INAS,terraza,Avenida Luz de la,36.69727906487394,-4.45363051916605,,19.0,privada,activa,,,
OCUP-0186,MARIPOSA,terraza,Avenida Luz de la,36.697393485426666,-4.455590433424031,,14.0,privada,activa,,,
OCUP-0187,IMPERIO GRILL,terraza,Avenida Manuel Agustin Heredia,36.71636585758483,-4.421148244152412,,25.0,privada,activa,,,
OCUP-0188,ROY´S,terraza,Avenida Manuel Agustin Heredia,36.71636585758483,-4.421148244152412,,43.0,privada,activa,,,
OCUP-0189,BAR AZUL,terraza,Avenida Manuel Agustin Heredia,36.71595827408417,-4.421542818002912,,5.0,privada,activa,,,
OCUP-0190,ORTEGA SOHO,terraza,Avenida Manuel Agustin Heredia,36.7155228908037,-4.421969782008723,,7.0,privada,activa,,,
OCUP-0191,MIMO HEALTHY,terraza,Avenida Manuel Agustin Heredia,36.71435235543215,-4.423122608454732,,14.0,privada,activa,,,
OCUP-0192,BAR ACUARIO,terraza,Avenida Manuel Agustin Heredia,36.714234085316704,-4.423238492639752,,12.0,privada,activa,,,
OCUP-0193,CHUPYTIRA,terraza,Calle Tomas Echeverria,36.70372714297146,-4.434194251425195,,26.0,privada,activa,,,
OCUP-0194,LA ALEGR?A DE LOS MONTES,terraza,Avenida Manuel Gorria,36.73612560616712,-4.416277386838461,,28.0,privada,activa,,,
OCUP-0195,PARAYTA,terraza,Avenida Manuel Gorria,36.73675169493944,-4.417401209818391,,13.0,privada,activa,,,
OCUP-0196,BAR PILETA,terraza,Avenida Manuel Rodriguez,36.73412680003672,-4.4801137580204555,,4.0,privada,activa,,,
OCUP-0197,GARDEN,terraza,Avenida Manuel Torres,36.69958293547989,-4.447037797420197,,16.0,privada,activa,,,
OCUP-0198,BELLAS DURMIENTES,terraza,Avenida Manuel Torres,36.70001649026968,-4.447842028926248,,21.0,privada,activa,,,
OCUP-0199,TABERNA EL SILLERO,terraza,Avenida Manuel Torres,36.70053348833577,-4.448182511864428,,5.0,privada,activa,,,
OCUP-0200,MI BARRIO,terraza,Avenida Manuel Torres,36.69997556229114,-4.447515331968389,,6.0,privada,activa,,,
OCUP-0201,HELADERIA IGNACIO MIRA,terraza,Avenida Mayorazgo,36.73166670462997,-4.396845755701008,,7.0,privada,activa,,,
OCUP-0202,LA CHEESEQUERIA,terraza,Avenida Mayorazgo,36.73186478213549,-4.397089088692047,,10.0,privada,activa,,,
OCUP-0203,KALUA,terraza,Avenida Moliere,36.68664476055096,-4.452207145166109,,40.0,privada,activa,,,
OCUP-0204,Kettu s,terraza,Avenida Moliere,36.68647313128067,-4.452039229156499,,28.0,privada,activa,,,
OCUP-0205,PIZZERIA NENINA,terraza,Avenida Moliere,36.68647313128067,-4.452039229156499,,34.0,privada,activa,,,
OCUP-0206,SAQQARA,terraza,Avenida Moliere,36.68647313128067,-4.452039229156499,,4.0,privada,activa,,,
